atlas,file,path,symmetry_n,drift_deg
symmetry_resonance_atlas,sym_n11_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_4.59.png,11,4.59
symmetry_resonance_atlas,sym_n04_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_4.59.png,4,4.59
symmetry_resonance_atlas,sym_n19_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_0.00.png,19,0.0
symmetry_resonance_atlas,sym_n03_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n03_drift_3.53.png,3,3.53
symmetry_resonance_atlas,sym_n16_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n16_drift_3.53.png,16,3.53
symmetry_resonance_atlas,sym_n20_drift_5.65.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_5.65.png,20,5.65
symmetry_resonance_atlas,sym_n11_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_0.00.png,11,0.0
symmetry_resonance_atlas,sym_n04_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_0.00.png,4,0.0
symmetry_resonance_atlas,sym_n15_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n15_drift_3.18.png,15,3.18
symmetry_resonance_atlas,sym_n19_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_4.59.png,19,4.59
symmetry_resonance_atlas,sym_n03_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n03_drift_2.12.png,3,2.12
symmetry_resonance_atlas,sym_n16_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n16_drift_2.12.png,16,2.12
symmetry_resonance_atlas,sym_n19_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_1.41.png,19,1.41
symmetry_resonance_atlas,sym_n15_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n15_drift_6.00.png,15,6.0
symmetry_resonance_atlas,sym_n14_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_0.71.png,14,0.71
symmetry_resonance_atlas,sym_n14_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_3.53.png,14,3.53
symmetry_resonance_atlas,sym_n13_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_4.59.png,13,4.59
symmetry_resonance_atlas,sym_n06_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_4.59.png,6,4.59
symmetry_resonance_atlas,sym_n20_drift_3.88.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_3.88.png,20,3.88
symmetry_resonance_atlas,sym_n09_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_2.12.png,9,2.12
symmetry_resonance_atlas,sym_n13_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_1.41.png,13,1.41
symmetry_resonance_atlas,sym_n06_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_1.41.png,6,1.41
symmetry_resonance_atlas,sym_n17_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_6.00.png,17,6.0
symmetry_resonance_atlas,sym_n16_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n16_drift_0.71.png,16,0.71
symmetry_resonance_atlas,sym_n03_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n03_drift_0.71.png,3,0.71
symmetry_resonance_atlas,sym_n14_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_2.12.png,14,2.12
symmetry_resonance_atlas,sym_n20_drift_4.94.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_4.94.png,20,4.94
symmetry_resonance_atlas,sym_n17_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_3.18.png,17,3.18
symmetry_resonance_atlas,sym_n13_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_0.00.png,13,0.0
symmetry_resonance_atlas,sym_n06_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_0.00.png,6,0.0
symmetry_resonance_atlas,sym_n09_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_3.53.png,9,3.53
symmetry_resonance_atlas,sym_n18_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_3.18.png,18,3.18
symmetry_resonance_atlas,sym_n14_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_4.59.png,14,4.59
symmetry_resonance_atlas,sym_n09_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_0.00.png,9,0.0
symmetry_resonance_atlas,sym_n13_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_3.53.png,13,3.53
symmetry_resonance_atlas,sym_n06_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_3.53.png,6,3.53
symmetry_resonance_atlas,sym_n14_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n14_drift_1.41.png,14,1.41
symmetry_resonance_atlas,sym_n18_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_6.00.png,18,6.0
symmetry_resonance_atlas,sym_n19_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_0.71.png,19,0.71
symmetry_resonance_atlas,sym_n20_drift_5.29.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_5.29.png,20,5.29
symmetry_resonance_atlas,sym_n13_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_2.12.png,13,2.12
