x,y,z,regime
12.778441092800822,-3.1126937996747244,44.43394151512124,RIGHT_ATTRACTOR
12.539558115197417,-3.417601476050863,44.19466837442861,RIGHT_ATTRACTOR
12.29977283708758,-3.7117121254605685,43.95195199435415,RIGHT_ATTRACTOR
12.059258635898242,-3.9951365941931174,43.706221337850614,RIGHT_ATTRACTOR
11.8181845393788,-4.268001480306039,43.45788994844729,RIGHT_ATTRACTOR
11.576715062557522,-4.530447893634675,43.207355583142714,RIGHT_ATTRACTOR
11.335010070604314,-4.782630233825277,42.95499995591707,RIGHT_ATTRACTOR
11.093224659554327,-5.0247149854369155,42.7011885567388,RIGHT_ATTRACTOR
10.85150905105252,-5.256879557422855,42.44627051913916,RIGHT_ATTRACTOR
10.61000851835768,-5.479311149270196,42.19057861936873,RIGHT_ATTRACTOR
10.368863311587706,-5.692205636375982,41.934429265582054,RIGHT_ATTRACTOR
10.128208626828037,-5.895766541392402,41.67812265470018,RIGHT_ATTRACTOR
9.8881745609953,-6.090203991321628,41.42194286854996,RIGHT_ATTRACTOR
9.648886103378572,-6.275733757556037,41.16615810572117,RIGHT_ATTRACTOR
9.410463136799745,-6.452576342701901,40.91102093759632,RIGHT_ATTRACTOR
9.173020443549259,-6.6209560819570665,40.656768580294425,RIGHT_ATTRACTOR
8.936667740195576,-6.781100346036564,40.40362325686946,RIGHT_ATTRACTOR
8.701509681558855,-6.933238638211196,40.15179246099543,RIGHT_ATTRACTOR
8.46764595202238,-7.0776020329143225,39.901469471762724,RIGHT_ATTRACTOR
8.235171327704492,-7.214422457788533,39.65283380926154,RIGHT_ATTRACTOR
8.00417569636022,-7.343931953910568,39.406051501188244,RIGHT_ATTRACTOR
7.7747441514758275,-7.46636213102422,39.161275607777675,RIGHT_ATTRACTOR
7.546957089571669,-7.581943653612762,38.918646738983014,RIGHT_ATTRACTOR
7.320890273456558,-7.69090567696868,38.67829342958521,RIGHT_ATTRACTOR
7.096614951058486,-7.793475438505069,38.44033272012901,RIGHT_ATTRACTOR
6.874197935672673,-7.889877807235753,38.20487056539884,RIGHT_ATTRACTOR
