lambda,vmin,loading,risk,converged
1.2676767676767677,0.9354591196645817,66.32582472697709,0.06454088033541827,True
1.2777777777777777,0.9344781603784962,67.14971907394705,0.06552183962150382,True
1.287878787878788,0.9334855185033335,68.53820984711359,0.0665144814966665,True
1.297979797979798,0.9324810444530084,69.93067370437255,0.06751895554699161,True
1.3080808080808082,0.9314645885948185,71.32717852183397,0.06853541140518149,True
1.3181818181818183,0.9304359928434834,72.72779552796749,0.06956400715651656,True
1.3282828282828283,0.9293950958333813,74.13259826898975,0.07060490416661869,True
1.3383838383838385,0.9283417314516434,75.54166288785824,0.07165826854835655,True
1.3484848484848486,0.9272757286582916,76.95506815802366,0.07272427134170845,True
1.3585858585858586,0.926196911297245,78.37289552598472,0.07380308870275498,True
1.3686868686868687,0.9251050978976382,79.79522916233584,0.07489490210236183,True
1.378787878787879,0.924000101464827,81.22215602109736,0.07599989853517297,True
1.3888888888888888,0.9228817292604437,82.65376590719652,0.07711827073955635,True
