step,lambda,risk,distance,gradient,steer,drift,barrier,potential,state
11,0.9956425707611254,0.0003494779286482511,1.1050488051252132,-0.3185855101022206,0.025486840808177647,0.01499580626485622,4.190804705344286e-36,0.8585273521205874,NEXIT
12,1.0360535653878973,0.0004830730740614755,1.1000639720883068,-0.317709893795759,0.02541679150366072,0.014994203123111262,4.984594310807918e-33,0.8456494086885153,NEXIT
13,1.076434436496558,0.0006673212319340001,1.0950396169831151,-0.31736098704304716,0.025388878963443773,0.01499199214521679,4.222294019762012e-30,0.8328195361873819,NEXIT
14,1.11684126050948,0.0009215564818028384,1.0899523889627003,-0.3177235336337958,0.025417882690703664,0.014988941322218365,2.568019671088434e-27,0.8199996767599375,NEXIT
15,1.1573499952415354,0.0012727905352340624,1.0847698977303901,-0.3190501027309778,0.025524008218478222,0.014984726513577191,1.1315338951705353e-24,0.8071384366645341,NEXIT
16,1.1980639238750244,0.0017590864388749774,1.0794468684540848,-0.32168797088444334,0.025735037670755467,0.014978890962733499,3.6479843258431964e-22,0.794165806852183,NEXIT
17,1.239124177549211,0.002434713250498546,1.0739193515470236,-0.32611837791490794,0.026089470233192635,0.014970783440994017,8.700171720358713e-20,0.7809854277202154,NEXIT
18,1.280724844047374,0.003378273252364961,1.0680957391043482,-0.3330150722148928,0.026641205777191423,0.01495946072097162,1.5538336102258173e-17,0.7674629586502659,NEXIT
19,1.3231350564942592,0.004705993597057088,1.061842324797111,-0.3433335546256244,0.027466684370049954,0.014943528076835313,2.10657143866185e-15,0.753408054423326,NEXIT
20,1.366731908630177,0.00659439140389709,1.0549591213869867,-0.3584498104095557,0.028675984832764456,0.014920867303153234,2.2004127981198528e-13,0.7385454685027469,NEXIT
21,1.4120503225847538,0.00932077761349398,1.0471374322315596,-0.3803782910742348,0.030430263285938786,0.014888150668638071,1.7991905119950487e-11,0.7224670035756869,NEXIT
22,1.4598589995304163,0.013339487243598253,1.0378814484084113,-0.4121093849073221,0.032968750792585766,0.01483992615307682,1.1699716070244047e-09,0.7045486831791131,NEXIT
23,1.5112723383970432,0.01943357776967135,1.0263550211751624,-0.45808177249828663,0.03664654179986293,0.014766797066763943,6.131174670454753e-08,0.683803859949062,NEXIT
24,1.5678795466711757,0.0290340733634988,1.011064949697031,-0.5244452144311795,0.04195561715449436,0.014651591119638015,2.6001608885998815e-06,0.6586244290814514,NEXIT
25,1.6314492470099076,0.044917784158285415,0.989182559449088,-0.6138589218578905,0.04910871374863124,0.014460986590100575,8.735857309102963e-05,0.626440807559515,NEXIT
26,1.69557884329268,0.0725336431022988,0.9553191294116272,-0.6456974657924608,0.05,0.014129596282772414,0.002106478834355954,0.5853349670353046,NEXIT
27,1.7179403006859182,0.11553910535327004,0.906768388719272,-0.10934908321846848,0.008747926657477478,0.013613530735760758,0.023031700601370508,0.5558455278210405,NEXIT
28,1.704667100731022,0.13511414552197124,0.8854887256718172,0.33314787760790887,-0.02665183020863271,0.013378630253736345,0.04370596097587903,0.5581209668723768,NEXIT
29,1.7137406734384997,0.12317911777621013,0.8984197860248778,0.055603473490095645,-0.004448277879207652,0.013521850586685478,0.03024393767242837,0.555583664445833,NEXIT
30,1.7078607240017394,0.13123596240410024,0.8896769549034849,0.24131397359888895,-0.019305117887911116,0.013425168451150797,0.03904834564575865,0.556915957396261,NEXIT
31,1.7118477375734065,0.12596523363303316,0.8953897411684099,0.1187675453092063,-0.009501403624736504,0.0134884171964036,0.03315201634706479,0.5558612930562242,NEXIT
32,1.709210603616365,0.12951902756548125,0.8915351953039841,0.20103632032819618,-0.016082905626255695,0.013445771669214224,0.037071784568323246,0.5564974695180592,NEXIT
33,1.7109876430649045,0.12715899619251017,0.8940936811831516,0.14621315746438102,-0.011697052597150481,0.013474092045689877,0.03444264595105041,0.5560400374771659,NEXIT
34,1.709803825341534,0.12874524022513173,0.8923735046183364,0.18298593550836184,-0.014638874840668947,0.013455057117298419,0.03619848907848275,0.5563323644802332,NEXIT
35,1.7105988527846279,0.12768666033003442,0.8935212136454833,0.15840915791182075,-0.01267273263294566,0.013467760076039587,0.0350215707563919,0.5561303649935512,NEXIT
36,1.7100677071569976,0.12839675836044365,0.8927512172234233,0.17487980659131042,-0.013990384527304833,0.013459238899674675,0.03580877350543246,0.556262812571522,NEXIT
37,1.7104238287685736,0.12792198031344187,0.8932659938433907,0.16386018280828418,-0.013108814624662735,0.013464936236238697,0.035281412240577785,0.5561728751499573,NEXIT
