x,y,z
-7.732308060150671,-8.91876272711532,24.339307472496827
-7.918352330681217,-9.207893605956132,24.427982195986164
-8.118277918484981,-9.489187990908258,24.572661016266068
-8.328579868642993,-9.755843744671791,24.77313643723996
-8.545251419033104,-10.000489798527493,25.0278267384841
-8.76378739634972,-10.215380768644824,25.33353506188228
-8.979221175676505,-10.39268757009318,25.685243572902262
-9.186203796775262,-10.52488301422191,26.075976646792128
-9.379131830927056,-10.605208512288579,26.49677205311136
-9.552326598197403,-10.628191562873942,26.936796063384993
-9.700261347714,-10.59016666546737,27.383629106574215
-9.817826065841098,-10.48973887636516,27.82373071519746
-9.90061187269065,-10.328122752664356,28.243067588398333
-9.945190320229385,-10.1092948991387,28.62786017619446
-9.949358978866343,-9.839916723657186,28.965377508351864
-9.912324623227747,-9.529014350306689,29.24469335575839
-9.834800155334916,-9.187439429669327,29.45731497821193
-9.719000548809221,-8.827169616182145,29.59761079679143
-9.56853542013918,-8.460533159864827,29.662993054676956
-9.388208643499743,-8.099451040736533,29.653848796061048
-9.183746801071688,-7.754781854600054,29.573249860623005
-8.961485329209411,-7.435831581362395,29.42649976227676
-8.728043957756757,-7.150059091698206,29.220590377495004
-8.490020419326664,-6.902976549638934,28.963640235279097
-8.253725413638426,-6.698218313048884,28.66437427188116
-8.02497366588573,-6.537735878734132,28.331686016174455
-7.8089373794252515,-6.4220706632598885,27.97430275255352
-7.610060932539523,-6.350659165782484,27.60055661730636
-7.432030004537445,-6.322132800071831,27.218251717046336
-7.277784684279375,-6.334585937783129,26.834609896209983
-7.14956489557495,-6.385795652926401,26.45627527489647
-7.048976107981644,-6.473385549543495,26.089357881192704
-6.977064675246124,-6.5949330688455445,25.739499457099107
-6.934393768367603,-6.748023745430319,25.41194753328311
-6.9211128558544575,-6.930258452144604,25.11162702388924
-6.937015589420572,-7.139220648167742,24.84320110155363
-6.981582623468497,-7.372410858820032,24.611114757714567
-7.054007415144683,-7.6271555739010815,24.41961561327077
-7.153204351574949,-7.900497719072097,24.27274697739806
-7.2777995948777185,-8.189076217473705,24.17430837075239
-7.426106172959474,-8.489003184820444,24.127778944034112
-7.596085755154996,-8.79574875315233,24.136199790439786
-7.785301135173854,-9.104046206706409,24.202012611437095
-7.990864312911238,-9.407832165868085,24.326854825778753
-8.209387077296595,-9.700239453212188,24.51131539447167
-8.436942355303966,-9.973661516824535,24.754661843755894
-8.669046163116997,-10.219907082649067,25.054556784542996
-8.90067100197553,-10.430460009009836,25.40679131976686
-9.126301638942609,-10.596851229243985,25.805072091886856
-9.340042590961174,-10.711136661165717,26.240904927789128
-9.535783574974605,-10.766458091983601,26.70362013256226
-9.707423483638214,-10.757642820215088,27.18057922648617
