n,drift,score,closure_error,radial_variance,angular_irregularity
6,3.882352941176471,0.20482586266562822,1.1405547013927924,0.307021239786811,3.775891518863101e-14
6,4.235294117647059,0.40096867469643394,0.34447618315468115,0.307021239786811,6.244516161203767e-14
6,4.588235294117648,0.20307568696438494,1.1545801794011268,0.307021239786811,7.264204284104795e-14
6,4.9411764705882355,0.15595007302188565,1.6505922587239081,0.307021239786811,6.951297428892555e-14
6,5.294117647058824,0.18420006404807668,1.3227826343423543,0.307021239786811,3.239513365515072e-14
6,5.647058823529412,0.3610449667457802,0.43640207991357427,0.307021239786811,6.438605125346207e-14
6,6.0,0.2324990145060892,0.9468538800369455,0.307021239786811,7.317525100448376e-14
7,0.0,0.40103837225907946,0.3443317057398181,0.307021239786811,6.601046156852629e-14
7,0.35294117647058826,0.2039448123995407,1.147585132815935,0.307021239786811,5.488999417684338e-14
7,0.7058823529411765,0.15600922297653638,1.6497818626935028,0.307021239786811,8.06241882039921e-14
7,1.0588235294117647,0.18360148483964905,1.328682395181853,0.307021239786811,8.079551811131217e-14
7,1.411764705882353,0.35867164478410146,0.44251117751955915,0.307021239786811,6.26181692457445e-14
7,1.7647058823529413,0.23377153512633256,0.9390496362266889,0.307021239786811,5.744331792646696e-14
7,2.1176470588235294,0.15950249327673552,1.6029875377142475,0.307021239786811,8.00024060445774e-14
7,2.4705882352941178,0.1699466954377759,1.4745553695119056,0.307021239786811,7.991706137217267e-14
7,2.823529411764706,0.29401311509805383,0.6468923198036484,0.307021239786811,5.893921153888093e-14
7,3.1764705882352944,0.2773470416928337,0.7150197165595588,0.307021239786811,5.924944376867595e-14
7,3.5294117647058827,0.16684765052058195,1.5109865963392277,0.307021239786811,7.921420291790387e-14
7,3.882352941176471,0.16129816417643797,1.5797222413438583,0.307021239786811,7.885240077480776e-14
7,4.235294117647059,0.24531612912093248,0.8719469853380968,0.307021239786811,5.547923077328309e-14
7,4.588235294117648,0.3381446511692439,0.4989274679112633,0.307021239786811,6.108079420607547e-14
7,4.9411764705882355,0.1788439563342686,1.3769782310147392,0.307021239786811,7.83699759005447e-14
7,5.294117647058824,0.15669130626356892,1.6404810482805463,0.307021239786811,7.750957422280422e-14
7,5.647058823529412,0.21183041813934037,1.086741824780186,0.307021239786811,5.108934156611383e-14
7,6.0,0.39613991205098487,0.3546095918288664,0.307021239786811,6.22385623962878e-14
8,0.0,0.2787489362210295,0.708975259044645,0.307021239786811,8.421090919293737e-14
8,0.35294117647058826,0.16710359425329802,1.5079266250054242,0.307021239786811,8.39791865626664e-14
8,0.7058823529411765,0.16112514944593095,1.5819413014624035,0.307021239786811,6.495772574318924e-14
