step,lambda,psi,risk,distance,grad,state,dlam,dpsi,lam_drift,psi_drift,lam_restore,psi_restore,lam_rot,psi_rot,lam_nonlin,psi_nonlin,lam_damp,psi_damp,lam_barrier,dist_push,potential
56,1.3170024552979558,0.8776799009569793,0.05126043992695248,1.1920449713524885,-0.000345503955227755,NEXIT,-0.0013999428016687743,-0.0010372940094437993,0.01,0.004,-0.0034121176307136403,-0.008169579888836499,-0.0064189556269429624,0.004170365993094449,-8.17402036000025e-07,-5.9612360581449095e-06,0.001548178316465407,0.0010321188776436048,1.987382551076488e-05,0.0,0.5178885628359615
57,1.3162008949071795,0.8770065777672,0.050957016101418964,1.1921909624835707,-0.00030342382553351366,NEXIT,-0.00123316983196348,-0.0010358818304297475,0.01,0.004,-0.0033302209768160183,-0.008075186133977116,-0.006344789105267733,0.004070270082775134,-7.599462686682192e-07,-5.756980688716146e-06,0.0015378131978085743,0.0010252087985390497,1.9586605802486126e-05,0.0,0.5170718688470014
58,1.3155004787991518,0.8763412894530722,0.05069246222813541,1.1923041656043163,-0.0002645538732835573,NEXIT,-0.001077563243119593,-0.001023520483273524,0.01,0.004,-0.0032580805416461533,-0.007980920887408012,-0.0062707235543920095,0.003982098439789743,-7.116216938020024e-07,-5.557713626875334e-06,0.0015287104830425688,0.0010191403220283792,1.9337042345059586e-05,0.0,0.5163479022695444
59,1.3148939303351326,0.8756900268320597,0.05046367080596388,1.1923881754479662,-0.00022879142217152593,NEXIT,-0.000933151483106352,-0.0010019424938655485,0.01,0.004,-0.003195043091923657,-0.007887780523430117,-0.006197541839837949,0.003905052667906692,-6.711102786646208e-07,-5.36539377941505e-06,0.0015207738668440622,0.0010138492445627082,1.9121574222019325e-05,0.0,0.5157102917015618
60,1.3143740336691885,0.8750577547290759,0.05026765028096321,1.1924463706259618,-0.00019602052500067302,NEXIT,-0.0007998410245293098,-0.0009727263122827976,0.01,0.004,-0.0031404537301619293,-0.007796603756488359,-0.0061259029515265675,0.0038383323368645804,-6.372956117924377e-07,-5.1814765397413884e-06,0.0015139101241789163,0.0010092734161192777,1.8936923050104873e-05,0.0,0.5151527589565008
61,1.3135758256032481,0.8756469396776169,0.04998221685506127,1.1928282483404167,-0.0002854334259019403,NEXIT,-0.0012280124091388045,0.0009064383823706862,0.01,0.0055,-0.0030936630302269607,-0.00770808566207063,-0.006606930567489111,0.004124884040302614,-6.092320652015909e-07,-5.006990242033552e-06,0.0015080295084288961,0.0010053530056192642,1.8780070928635584e-05,0.0,0.5146691640505513
62,1.3127841040771944,0.8761238535964253,0.049699611108002834,1.1931869191063589,-0.0002826057470584342,NEXIT,-0.0012180331170058853,0.0007337137212438353,0.01,0.0055,-0.0030218243042923307,-0.007790571554866369,-0.006677632761314029,0.004029099072389774,-5.677685866900266e-07,-5.169459178344524e-06,0.001499466505651838,0.0009996443371012255,1.8541777160997846e-05,0.0,0.5140938150300598
63,1.312007186973677,0.8764992008087924,0.049422843728646484,1.193521531719581,-0.0002767673793563491,NEXIT,-0.0011952570823345792,0.0005774572497955065,0.01,0.0055,-0.0029505693669474907,-0.00785733950349955,-0.006734862431571042,0.003934092489263321,-5.285440867643595e-07,-5.303513808206723e-06,0.001490988333240085,0.0009939922221600566,1.8308406489196905e-05,0.0,0.5135153537610461
64,1.3112520102509224,0.8767833202384733,0.04915438367323845,1.193831646345598,-0.0002684600554080374,NEXIT,-0.0011618103426992885,0.00043710681489373565,0.01,0.0055,-0.0028806468276309193,-0.007909888113230944,-0.006779904097055094,0.0038408624368412255,-4.918512501323296e-07,-5.4106341436159e-06,0.0014826853118593945,0.0009884568745729297,1.8082254903748863e-05,0.0,0.5129410932042477
65,1.3105242482663257,0.8769861176722992,0.04889621286520594,1.1941171786722482,-0.00025817080803250403,NEXIT,-0.0011196338224565925,0.0003119960520398023,0.01,0.0055,-0.002812680922583015,-0.007949664833386267,-0.006813998428616798,0.0037502412301106867,-4.578520186629189e-07,-5.492671219848519e-06,0.0014746315101971533,0.0009830876734647689,1.7865109040963585e-05,0.0,0.5123771969425596
