step,lambda,risk,distance,gradient,steer,drift,rot,barrier,potential,state
86,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
87,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
88,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
89,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
90,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
91,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
92,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
93,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
94,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
95,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
96,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
97,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
98,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
99,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
100,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
101,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
102,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
103,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
