x,y,z
-2.1892704726372334,-8.468394743398228,29.238649047394627
-2.2516939723431157,-8.457247360755112,29.179549516469542
-2.313385764944852,-8.44617020478307,29.121106526632282
-2.3743538623991087,-8.435169762567817,29.06331099011693
-2.4346062603593888,-8.42425228134539,29.006153963365925
-2.494150935918447,-8.413423775262036,28.949626646995668
-2.552995845426316,-8.402690032008035,28.893720385643437
-2.6111489226255333,-8.392056619059646,28.838426667091046
-2.668618076637009,-8.381528889991413,28.783737121918954
-2.7254111900507088,-8.37111199060616,28.7296435230088
-2.7815361172828914,-8.360810864711794,28.676137784445114
-2.837000682792092,-8.350630259979491,28.62321196092237
-2.891812679418033,-8.340574733598642,28.570858246946255
-2.9459798669426784,-8.330648657609586,28.5190689755842
-2.9995099703174137,-8.320856224595415,28.46783661813738
-3.0524106783849567,-8.311201452686076,28.417153782725567
-3.1046896428394057,-8.301688190201052,28.367013212404448
-3.1563544768455314,-8.292320120676694,28.317407784201592
-3.207412753895316,-8.283100767533238,28.268330507686997
-3.257872006744746,-8.274033498583893,28.21977452345412
-3.3077397257630463,-8.265121531270776,28.171733103035663
-3.3570233559823146,-8.256367939571096,28.124199651879213
-3.4057302995683707,-8.247775653668972,28.07716770004323
-3.4538679138737622,-8.239347465428938,28.03063090306996
-3.5014435104779267,-8.23108603250999,27.984583040698976
-3.548464354470478,-8.2229938821058,27.939018015119466
-3.5949376636861157,-8.21507341471148,27.893929849406007
-3.640870604568385,-8.20732691270733,27.84931269315168
-3.6862702946238715,-8.199756539397825,27.80516081427116
-3.731143802660383,-8.192364341202211,27.76146859556285
-3.7754981471942384,-8.18515225244149,27.718230535217085
-3.8193402959690275,-8.178122098479742,27.675441245059567
-3.862677165533602,-8.171275598736798,27.633095448751163
-3.9055156193719025,-8.164614371996002,27.59118798272054
-3.947862466110036,-8.158139941554358,27.549713797019965
-3.989724463106546,-8.151853731683746,27.50866794633102
-4.03110831441442,-8.145757073108319,27.46804559140267
-4.072020670433957,-8.139851205729785,27.42784199744033
-4.112468127668303,-8.134137281154237,27.38805253237123
-4.152457228222946,-8.128616365632706,27.348672665558055
-4.191994456882306,-8.123289447152231,27.309697970319313
-4.231086244246774,-8.118157432047973,27.271124117107615
-4.269738966136864,-8.113221148024873,27.23294687252513
-4.307958942978912,-8.108481347183355,27.195162098419033
-4.345752439701649,-8.103938708136244,27.157765750236486
-4.383125665671381,-8.099593838031362,27.120753875371058
-4.420084772994807,-8.095447277562531,27.08412261366233
-4.45663585681019,-8.091499502289185,27.047868195364646
-4.492784957097342,-8.087750921130832,27.01198693719246
-4.52853805762156,-8.084201880125953,26.976475242114798
-4.563901085942905,-8.080852664202345,26.941329597812935
-4.598879913456446,-8.077703498867228,26.90654657513948
-4.633480355054267,-8.074754552614964,26.872122827006425
-4.667708167366242,-8.072005942086005,26.83805508879226
-4.701569051793057,-8.06945772786219,26.8043401737745
-4.735068653474477,-8.067109918167521,26.77097497284395
-4.768212561357157,-8.064962470405217,26.737956453103596
-4.801006308311944,-8.063015292578406,26.705281656449475
-4.833455371239465,-8.061268244716821,26.6729476981876
-4.865565169694612,-8.059721143287582,26.64095176684912
-4.897341067314455,-8.058373759906022,26.609291121815936
-4.928788372436759,-8.057225821669006,26.57796309161388
-4.959912337728801,-8.056277013476137,26.54696507301635
-4.990718160351494,-8.055526979247876,26.51629452975267
-5.021210982134352,-8.054975323103422,26.485948991236242
-5.051395889759806,-8.054621610501355,26.455926051313835
-5.081277914706643,-8.05446536987891,26.426223367082997
-5.110862032786382,-8.054506095145568,26.39683865780914
-5.140153165495864,-8.05474324426764,26.367769703536744
-5.1691561797686445,-8.05517624126502,26.339014344020985
-5.1978758880800005,-8.055804477431934,26.31057047762335
-5.226317048600682,-8.056627312434518,26.28243606022819
-5.2544843653440925,-8.057644075403514,26.25460910419142
-5.282382488327984,-8.058854065983278,26.22708767729734
-5.310016015871268,-8.060256551408534,26.19986989934075
-5.337389493382641,-8.061850770064357,26.172953942673516
-5.364507412387886,-8.063635934587918,26.146338032505955
-5.3913742116832815,-8.065611231015424,26.12002044484229
-5.417994277559885,-8.0677758196349,26.093999505481882
-5.444371944024812,-8.0701288358292,26.068273589045376
-5.470511493018533,-8.072669390911404,26.04284111802639
-5.496417154987372,-8.075396572208653,26.017700561424164
-5.522093110484585,-8.078309441000224,25.992850432124133
-5.547543488227885,-8.081407037777828,25.96828928867792
-5.572772366029598,-8.084688381541383,25.944015733550476
-5.597783771217475,-8.088152470133789,25.920028412014616
-5.622581680909455,-8.091798280862365,25.896326011243186
-5.647170022287629,-8.095624771106294,25.872907259418803
-5.671552672871884,-8.09963087890928,25.849770924860245
-5.695733461357386,-8.10381552254334,25.826915814633548
-5.719716167670937,-8.108177601462087,25.804340773914628
-5.743504522772208,-8.112715997698032,25.782044685607392
-5.7671022092679225,-8.117429575783579,25.760026469210594
-5.790512861713413,-8.122317183219703,25.738285079993478
-5.813740066914034,-8.127377650930734,25.716819508185463
-5.836787364226069,-8.132609793705983,25.69562877817972
-5.859658245914884,-8.138012410536799,25.67471194770275
-5.882356157776946,-8.143584284521346,25.654068106779604
-5.904884498991174,-8.149324183979711,25.63369637734562
-5.927246622541601,-8.155230862649105,25.613595912400044
-5.949445835573043,-8.16130305997276,25.593765895226383
-5.9714853997035275,-8.167539501445088,25.574205538659555
-5.99336853133597,-8.173938898945913,25.554914084364544
-5.998486935305214,-5.575499092007588,24.707479746359997
-5.994348999632173,-5.5897570429844325,24.675111517391635
-5.990394935075381,-5.604180784000041,24.642892755399327
-5.9866245581798,-5.618769608680621,24.610824965725236
-5.983037680347437,-5.633522821145988,24.578909650542382
-5.979634107995161,-5.648439735818621,24.547148309078867
-5.976413642709432,-5.663519677227273,24.515542437838715
-5.9733760813980386,-5.678761979804831,24.484093530820157
-5.970521216438784,-5.694165987680525,24.452803079731023
-5.967848835825129,-5.709731054466648,24.421672574200993
-5.965358723308818,-5.725456543039504,24.390703501991208
-5.963050658302434,-5.741341826500231,24.35989734913261
-5.960924416109113,-5.7573862874786075,24.32925560015635
-5.958979768347969,-5.7735893164371985,24.298779738379235
-5.957216482892055,-5.789950312392708,24.268471246045912
-5.955634323991251,-5.806468682691646,24.238331604522763
-5.954233052391924,-5.823143842781242,24.208362294488843
-5.953012425453358,-5.839975215975879,24.178564796123617
-5.95197219726096,-5.85696223321866,24.148940589292145
-5.951112118736215,-5.874104332838576,24.119491153726948
-5.950431937743421,-5.891400960302888,24.09021796920716
-5.949931399113817,-5.908851568613484,24.061122515734358
-5.949610244706468,-5.926455618371919,24.032206273705352
-5.9494682137112616,-5.9442125758347455,24.003470724083716
-5.949505042637196,-5.962121913509563,23.97491734856659
